text/CeladonDiner.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_CeladonDinerText1::				_CeladonDinerText1::										
	text	Hi!			text	歡迎光臨！		text	欢迎光临！	Hi!	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
					para	常客比較多，真是抱歉！		para	常客比较多，真是抱歉！	We're taking a	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	para	We're taking a			done			done		break now.				…　シルフ　カンパニー
	line	break now.										……西尔佛公司	……シルフカンパニー	
	done													
														
_CeladonDinerText2::				_CeladonDinerText2::										
	text	My #MON are			text	我家裡養的		text	我家里养的	My #MON are	My Pokémon are weak, so I often buy medicines	我家里养的那只宝可梦啊……	うちで　かってる　ポケモン……	うちで　かってる　ポケモン…
	line	weak, so I often			line	那隻寶可夢啊……		line	那只宝可梦啊……	weak, so I often	at the department store.	总是会体力不支，	たいりょく　ないから　いつも	たいりょく　ないから　いつも
	cont	have to go to the			cont	總是會體力不支。		cont	总是会体力不支。	have to go to the				デパートで　おくすり　かって　くるの
	cont	DRUG STORE.			para	所以我才要去		para	所以我才要去	DRUG STORE.		所以我才要去百货公司买药呢。	デパートで　おくすり　かって　くるの	
	done				line	百貨公司買藥呢。		line	百货公司买药呢。					
					done			done						
_CeladonDinerText3::				_CeladonDinerText3::										
	text	Psst! There's a			text	偷偷摸摸……吧唧吧唧……		text	偷偷摸摸……吧唧吧唧……	Psst! There's a	Hey!	我翻我翻……！	ガサゴソ……！	ガサゴソ…!
	line	basement under			line	……遊戲城的下面		line	……游戏城的下面	basement under	There’s a switch under the trash?!	嘿哟！垃圾箱底	おっと！　ゴミばこの　そこに	おっと!　ゴミばこの　そこに
	cont	the GAME CORNER.			cont	好像有個地下室啊……		cont	好像有个地下室啊……	the GAME CORNER.				また　スイッチが　あった!
