priority	category	safe_to_auto_apply	file	sheet	row	col	original	current	suggested	reason
high	台灣用字	yes	src/xlsx/buildingsA.xlsx	SSAnneBow	14	7	哎哟……好恶心！	哎喲……好惡心！	哎喲……好噁心！	台灣「反胃、不舒服」語意通常寫「噁心」。
high	台灣用字	yes	src/xlsx/indoor.xlsx	Museum2F	14	7	买了台彩色电视！	買了臺彩色電視！	買了一台彩色電視！	台灣一般量詞/物件名多用「台」。
high	台灣用字	yes	src/xlsx/indoor.xlsx	SafariZoneGate	48	7	<PLAYER>从前台那里	<PLAYER>從前臺那裡	<PLAYER>從櫃台那裡	店家/設施語境用「櫃台」比「前臺」自然。
high	台灣語感	yes	src/xlsx/buildingsA.xlsx	SSAnne1FRooms	97	7	周游世界哦～呵呵哒！	周遊世界哦～呵呵噠！	周遊世界哦～呵呵！	「呵呵噠」是陸網路語，不適合本地化文本。
high	台灣語感	maybe	src/xlsx/buildingsA.xlsx	SilphCo5F	72	7	厉害个蛋蛋！	厲害個蛋蛋！	少得意了！	「個蛋蛋」是陸式吐槽，改成自然挑釁語。
high	台灣語感	yes	src/xlsx/buildingsB.xlsx	SilphCo6F	10	7	我得继续干活去了。	我得繼續幹活去了。	我得繼續工作了。	「幹活」偏陸用語，改「工作」較自然。
high	台灣語感	yes	src/xlsx/buildingsB.xlsx	SilphCo7F	162	7	你在金黄市瞎晃悠，	你在金黃市瞎晃悠，	你在金黃市到處閒晃，	「瞎晃悠」偏陸式口語，台灣較自然為「到處閒晃」。
high	台灣語感	maybe	src/xlsx/indoor.xlsx	VermilionGym	31	7	完全useless唷～！	完全useless唷～！	完全沒用唷～！	英文夾雜不自然，除非刻意保留馬志士風格。
high	台灣語感	maybe	src/xlsx/indoor.xlsx	VermilionGym	61	7	electric宝可梦噢！	electric寶可夢噢！	電屬性寶可夢噢！	英文夾雜不自然，除非刻意表現馬志士講話風格。
high	台灣語感	yes	src/xlsx/outdoor.xlsx	CeruleanCity	66	7	……我只是一个吃瓜群众！	……我只是一個吃瓜群眾！	……我只是個旁觀者！	「吃瓜群眾」是網路/陸用語，和原作時代語感不合。
high	台灣語感	yes	src/xlsx/outdoor.xlsx	SaffronCity	13	7	喂！跟我们对着干，	喂！跟我們對著幹，	喂！敢跟我們作對，	「對著幹」可讀但較粗，火箭隊語氣用「作對」更自然。
high	官方用語	yes	src/xlsx/data.xlsx	Moves	158	3	岩崩	巖崩	岩崩	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/data.xlsx	PM	35	3	大岩蛇@@@@	大巖蛇@@@@	大岩蛇@@@@	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/data.xlsx	PM	50	3	隆隆岩@@@@	隆隆巖@@@@	隆隆岩@@@@	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/data.xlsx	Townnames	40	3	岩山隧道	巖山隧道	岩山隧道	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/dexEntry.xlsx	工作表 1	96	14	岩蛇	巖蛇	岩蛇	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/indoor.xlsx	CeladonMartRoof	60	7	“岩崩”哦！	“巖崩”哦！	“岩崩”哦！	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/outdoor.xlsx	VermilionCity	146	7	从岩山隧道绕行！	從巖山隧道繞行！	從岩山隧道繞行！	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
high	官方用語	yes	src/xlsx/routes.xlsx	DiglettsCaveRoute2	3	7	虽然要去岩山隧道，但是	雖然要去巖山隧道，但是	雖然要去岩山隧道，但是	寶可夢名稱、招式與地名建議統一使用「岩」：大岩蛇、隆隆岩、岩崩、岩山隧道。
