text/SafariZoneGate.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_SafariZoneEntranceText1::				_SafariZoneEntranceText1::										
	text	Welcome to the			text	歡迎來到狩獵地帶！		text	欢迎来到狩猎地带！	Welcome to the	Home of the Safari Zone Warden	狩猎地带	サファリゾーン	サファり　ゾーン
	line	SAFARI ZONE!			done			done		SAFARI ZONE!		园长的家	えんちょうの　いえ	えんちょうの　いえ
	done													
														
SafariZoneEntranceText_9e814::				SafariZoneEntranceText_9e814::										
	text	Leaving early?@			text	已經要結束了嗎？@		text	已经要结束了吗？@	Leaving early?@	Electrode! Use Tackle! Now!	顽皮雷弹！那里要用撞击！	マルマイン！　そこで　たいあたりっ！	マルマイン!　そこで　たいあたりっ!
	text_end				text_end			text_end				给你跪了……又失败！	……がっくし　また　ダメ！	…　がっくし　また　ダメ!
											D’aww... Failed again?			
_SafariZoneEntranceText_753bb::				_SafariZoneEntranceText_753bb::										
	text	Please return any			text	那麼請將剩下的狩獵球		text	那么请将剩下的狩猎球	Please return any	You can’t carry any more Pewter Crunchies!	装不下更多的深灰米果了！？	もう　ニビあられ　もてないよ！？	おきゃくさん　もう　もてないよ@ゼ@
	line	SAFARI BALLs you			line	全部交給我們吧！		line	全部交给我们吧！	SAFARI BALLs you	Why do you have so many?	你怎么带了这么多！？	なんで　そんなに　もってるの！？	
	cont	have left.			done			done		have left.				
	done										...Please eat them!	……吃完再来买呗！？	……ちゃんと　たべて！？	
														
_SafariZoneEntranceText_753c0::				_SafariZoneEntranceText_753c0::										
	text	Good Luck!			text	那麼，加油吧！		text	那么，加油吧！	Good Luck!	Good luck out there, Trainer!	加油啊，训练家～！	トレーナーさん　がんばってー	トレーナーぞ
	done				done			done						きド5ま
														
_SafariZoneEntranceText_753c5::				_SafariZoneEntranceText_753c5::										
	text	Did you get a			text	您辛苦了！		text	您辛苦了！	Did you get a	Hello, [VAR TRNAME(0000)]!	那啥～说你呢～[VAR TRNAME(0000)]啊！	やー　やー　[VAR TRNAME(0000)]！	やー　やー　 {PLAYER} くん!
	line	good haul?			line	捉到很多寶可夢了嗎？		line	捉到很多宝可梦了吗？	good haul?				また　わしの　ポケモン　じまんを
	cont	Come again!			cont	下次再來玩吧！		cont	下次再来玩吧！	Come again!	Did you come see me about my Pokémon again?	又想来听老夫介绍	また　わしの　ポケモン　じまんを	ききに　きたの　かね!
	done				done			done				引以为豪的宝可梦了吧！	ききに　きたの　かね！	…　え　ちがう?
											No?			なんじゃ…　つまらん
SafariZoneEntranceText_9e6e4::				SafariZoneEntranceText_9e6e4::							Too bad!	……啥？不是？	……え　ちがう？	
	text	For just ¥500,			text	只要花¥500		text	只要花¥500	For just ¥500,	The fourth page says...	第４页……	４ページめ……	にんしゅうを　たおすこと!
	line	you can catch all			line	就能在這片廣闊的狩獵地帶		line	就能在这片广阔的狩猎地带	you can catch all				さらに　ポケモンりーグ　ほんぶには
	cont	the #MON you			cont	享受盡情捕捉寶可夢的		cont	享受尽情捕捉宝可梦的	the #MON you	“The goal for all Pokémon Trainers is simple. It is	宝可梦训练家的目标	ポケモントレーナーの　もくひょうは	…　もうれつに　つよい!
	cont	want in the park!			cont	狩獵遊戲！		cont	狩猎游戏！	want in the park!	to defeat the eight Gym Leaders in the region.	就是打败各个宝可梦道馆的	かくちの　ジムに　いる	してんのうが　くんりん　してる!
					para	要不要參加呢？		para	要不要参加呢？	Would you like to				へどぶぼ
	para	Would you like to			line	@		line	@	join the hunt?@	“Do so to earn the right to face...the extremely	８位强大的训练家！	つよい　トレーナー	
