line	status	file	sheet	row	col	cell	old_current	new_current	old_suggested	new_suggested
2	exact_suggested_already	src/xlsx/buildingsA.xlsx	SSAnneBow	14	7	哎喲……好噁心！	哎喲……好惡心！	哎喲……好惡心！	哎喲……好噁心！	哎喲……好噁心！
3	exact_suggested_already	src/xlsx/indoor.xlsx	Museum2F	14	7	買了一台彩色電視！	買了臺彩色電視！	買了臺彩色電視！	買了一台彩色電視！	買了一台彩色電視！
4	exact_suggested_already	src/xlsx/indoor.xlsx	SafariZoneGate	48	7	<PLAYER>從櫃台那裡	<PLAYER>從前臺那裡	<PLAYER>從前臺那裡	<PLAYER>從櫃台那裡	<PLAYER>從櫃台那裡
5	exact_suggested_already	src/xlsx/buildingsA.xlsx	SSAnne1FRooms	97	7	周遊世界哦～呵呵！	周遊世界哦～呵呵噠！	周遊世界哦～呵呵噠！	周遊世界哦～呵呵！	周遊世界哦～呵呵！
6	exact_current	src/xlsx/buildingsA.xlsx	SilphCo5F	72	7	厲害個蛋蛋！	厲害個蛋蛋！	厲害個蛋蛋！	少得意了！	少得意了！
7	exact_suggested_already	src/xlsx/buildingsB.xlsx	SilphCo6F	10	7	我得繼續工作了。	我得繼續幹活去了。	我得繼續幹活去了。	我得繼續工作了。	我得繼續工作了。
8	exact_suggested_already	src/xlsx/buildingsB.xlsx	SilphCo7F	162	7	你在金黃市到處閒晃，	你在金黃市瞎晃悠，	你在金黃市瞎晃悠，	你在金黃市到處閒晃，	你在金黃市到處閒晃，
9	exact_current	src/xlsx/indoor.xlsx	VermilionGym	31	7	完全useless唷～！	完全useless唷～！	完全useless唷～！	完全沒用唷～！	完全沒用唷～！
10	exact_current	src/xlsx/indoor.xlsx	VermilionGym	61	7	electric寶可夢噢！	electric寶可夢噢！	electric寶可夢噢！	電屬性寶可夢噢！	電屬性寶可夢噢！
11	exact_suggested_already	src/xlsx/outdoor.xlsx	CeruleanCity	66	7	……我只是個旁觀者！	……我只是一個吃瓜群眾！	……我只是一個吃瓜群眾！	……我只是個旁觀者！	……我只是個旁觀者！
12	exact_suggested_already	src/xlsx/outdoor.xlsx	SaffronCity	13	7	喂！敢跟我們作對，	喂！跟我們對著幹，	喂！跟我們對著幹，	喂！敢跟我們作對，	喂！敢跟我們作對，
13	rebased_synthetic_at_suggested_already	src/xlsx/data.xlsx	Moves	158	3	岩崩	巖崩@	巖崩	岩崩@	岩崩
