text/ViridianCity.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_ViridianCityText_19219::				_ViridianCityText_19219::										
	text	First, you need			text	捕捉寶可夢之前，		text	捕捉宝可梦之前，	First, you need	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	to weaken the			line	要先削弱它們！		line	要先削弱它们！	to weaken the	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	cont	target #MON.			done			done		target #MON.				…　シルフ　カンパニー
	done											……西尔佛公司	……シルフカンパニー	
														
_ViridianCityText_1920a::				_ViridianCityText_1920a::										
	text	Ahh, I've had my			text	唔……			うーん…		Shh! Listen, I need to share a	嘘……！	しー！	しー!
	line	coffee now and I			line	我應該是喝多了。			よっぱらってた　みたいじゃ!		secret with someone.	偷偷告诉你，	ないしょ　だけど　このコハク	ないしょ　だけど　このコハク
	cont	feel great!			cont	頭有點痛……			あたまが　いたい…					ポケモンの　いでんしが　のこってると
											I think that this chunk of amber	我推测这个琥珀里面	ポケモンの　いでんしが　のこってると	おれは　にらんでるんだ!
	para	Sure, you can go									contains Pokémon DNA!	留有宝可梦的遗传基因！	おれは　にらんでるんだ！	もし　いきかえらせたら
	line	through!												ポケモンの　いちだい　はっけんだ!
									…　なに?		It would be a shattering scientific	如果能让它复活，	もし　いきかえらせたら	でも　ここの　なかまは
	para	I'm sorry I was			para	……什麼？			わしが　じゃまで　とおれなかった?		breakthrough if Pokémon could be	那简直就是宝可梦的一大发现！	ポケモンの　いちだい　はっけんだ！	おれの　いうこと　しんじないんだ
	line	so rude to you!			line	你說我擋了你的路？			…　…　ほっほう					⋯⋯それで
					cont	……不好意思啊。					resurrected from it.	可惜这里的同事们	でも　ここの　なかまは	きみに　たのみが　ある!
	para	I see you're using										没人把我说的话当回事。	おれの　いうこと　しんじないんだ	これを　どこかの
	line	a #DEX.									But my colleagues just ignore			けんきゅうじょに　もって　いって
											what I have to say.	所以啊……	……それで	しらべて　ほしいんだ!
	para	I'll show you how			para	你在收集寶可夢圖鑑是嗎！			ポケモンずかんを　つくっとるのか!			我需要你的帮助！	きみに　たのみが　ある！	
	line	to catch #MON			line	為了向你道歉，讓我來			だったら　おわびに　ポケモンの		So I have a favor to ask!			
	cont	as my apology.			cont	給你展示如何捕捉寶可夢！			つかまえかたを　みせてやろう!			麻烦你拿着这个琥珀，	これを　どこかの	
	done				done						I want you to get this examined at	找一家研究所，	けんきゅうじょに　もって　いって	
											a Pokémon Lab somewhere.			
_OldManTextAfterBattle::				_OldManTextAfterBattle::								请人帮我调查个究竟吧！	しらべて　ほしいんだ！	
	text	That didn't work!			text	嗯，失敗了呢～			んー　しっぱい　じゃー		KOGA: With Trainers like you	阿桔：有了像你或是	キョウ『おぬしや	キョウ『…　ファ　ファ　ファ!
	line	I must be losing			line	我確實不行了呢～			わしも　うでが　おちたのー		and [VAR TRNAME(0001)],	[VAR TRNAME(0001)]这样的训练家，	[VAR TRNAME(0001)]の　ような　トレーナーが	こわっぱ　ごときが
	cont	my touch.							モンスターボールも					せっしゃに　たたかいを　いどむとは
									なくなって　しまったし		the Pokémon League must be a place	如今在宝可梦联盟一定能	いるので　あれば	かたはら　いたいで　ござる!
	para	I've run out of			para	這會兒			ちかくの　フレンドりィショップに		of formidable strength!	看到群英荟萃一般的景象吧！		…　どくを　くらったら　じめつ!
	line	# BALLs too.			line	精靈球也用完了呀。			かいに　いくかな				いまの　ポケモンリーグは	ねむって　しまったら　むていこう
											Truly, it is something to be proud of!	在下要不要也以成为四天王	そうとうな　つよさを	…　しのびの　わざの　ごくいを
	para	I have to get some			para	要不去附近的友好商店						为目标而努力一番呐……		うけて　みよ!
	line	at #MON MART.			line	再買一些呢？					As it so happens, I have been thinking		ほこる　しせつで　ござろう！	
	done				done						of aiming to join the Elite Four myself...			
													せっしゃも　してんのうを	
_ViridianCityText1::				_ViridianCityText1::									めざして　みようか……	
	text	Those # BALLs			text	你腰上掛著精靈球！		text	你腰上挂着精灵球！	Those # BALLs	Those Poké Balls you’ve got!	和你在一起的……！	きみが　つれて　いるのは……！	きみが　こしに　つけてる
	line	at your waist!			line	……難道是寶可夢！		line	……难道是宝可梦！	at your waist!	You have Pokémon, don’t you.	正是宝可梦啊！	まさしく　ポケモンだね！	その　モンスターボールは…!
	cont	You have #MON!			para	能隨時隨地		para	能随时随地	You have #MON!				まさしく　ポケモンだね!
					line	帶著寶可夢到處走，		line	带着宝可梦到处走，	It's great that	It’s great that you can carry and use your	能和喜欢的宝可梦一起走动，	すきな　ポケモンと	いつでも　ポケモンの　だしいれが
	para	It's great that			cont	真的好方便啊！		cont	真的好方便啊！	you can carry and	Pokémon anytime, anywhere.	这个世界真是太美好了！	いっしょに　あるける　なんて	じゆうに　できる　なんて
	line	you can carry and			done			done		use #MON any				べんりな　よのなかだね
	cont	use #MON any-								time, anywhere!			すてきな　よのなかだね	
	cont	time, anywhere!												
	done													
														
_ViridianCityText_19122::				_ViridianCityText_19122::										
	text	This #MON GYM			text	不管什麼時候來，		text	不管什么时候来，	This #MON GYM	This Pokémon Gym is always closed...	不管什么时候来，	いつ　きても	いつ　きても
	line	is always closed.			line	這裡的道館總是關著門……		line	这里的道馆总是关着门……	is always closed.		这里的道馆总是关着门……	この　ポケモンジムは　しまっとる	この　ポケモン　ジムは　しまっとる
					para	不知道這裡的館主		para	不知道这里的馆主	I wonder who the	I wonder who the Gym Leader is...			いったい　どんな　ヤツが
	para	I wonder who the			line	究竟是怎樣的傢伙啊？		line	究竟是怎样的家伙啊？	LEADER is?		不知道这里的馆主	いったい　どんな　ヤツが	りーダーを　しとるんじゃろか?
	line	LEADER is?			done			done				究竟是怎样的家伙啊？	リーダーを　しとるんじゃろか？	
	done													
														
_ViridianCityText_19127::				_ViridianCityText_19127::										
	text	VIRIDIAN GYM's			text	常青市的道館館主		text	常青市的道馆馆主	VIRIDIAN GYM's	The Viridian City Gym Leader has returned!	常青市的道馆馆主	トキワジムの　リーダーが	トキワ　ジムの　りーダーが
	line	LEADER returned!			line	回來了唷！		line	回来了唷！	LEADER returned!		回来了唷！	かえって　きたぞ！	かえって　きたぞ!
	done				done			done						
														
_ViridianCityText_1914d::				_ViridianCityText_1914d::										
	text	You want to know			text	你一定不知道蟲寶寶寶可夢		text	你一定不知道虫宝宝宝可梦	You want to know	What do you want to know about	你想了解大师训练家的	マスタートレーナーズに　ついて	つの　ひみつ
	line	about the 2 kinds			line	有２種吧？		line	有２种吧？	about the 2 kinds	the Master Trainers?	哪一个方面呢？	どんなことが　しりたい？	どれに　ついて　はなし　ましょう?
	cont	of caterpillar			done			done		of caterpillar				
	cont	#MON?								#MON?				
	done													
														
_ViridianCityText_19152::				_ViridianCityText_19152::										
	text	Oh, OK then!			text	哦，那好吧！		text	哦，那好吧！	Oh, OK then!	Oh, then good!	绿毛虫是没有毒的，	キャタピーは　どくが　ないけど	キャタピーは　どくが　ないけど
